q	，
o	。
dfj	ぁ
dfu	ぁい
dfm	ぁん
j	あ
u	あい
m	あん
dfgl	ぃ
dfl	ぃ
df.	ぃん
dfg.	ぃん
gl	い
l	い
g;	いぇ
gp	いぇい
g/	いぇん
.	いん
g.	いん
dfh	ぅ
dfy	ぅう
dfn	ぅん
h	う
wh	う
wl	うぃ
w.	うぃん
wy	うう
y	うう
w;	うぇ
wp	うぇい
w/	うぇん
wdk	うぉ
wdi	うぉう
wd,	うぉん
n	うん
wn	うん
df;	ぇ
dfg;	ぇ
dfgp	ぇい
dfp	ぇい
df/	ぇん
dfg/	ぇん
;	え
p	えい
/	えん
dfk	ぉ
dfi	ぉう
df,	ぉん
k	お
i	おう
,	おん
fj	か
fu	かい
fm	かん
vj	が
vu	がい
vm	がん
fl	き
fdl	きぃ
fd.	きぃん
fd;	きぇ
fdp	きぇい
fd/	きぇん
fdj	きゃ
fdu	きゃい
fdm	きゃん
fdh	きゅ
fdy	きゅう
fdn	きゅん
fdk	きょ
fdi	きょう
fd,	きょん
f.	きん
vl	ぎ
vdl	ぎぃ
vd.	ぎぃん
vd;	ぎぇ
vdp	ぎぇい
vd/	ぎぇん
vdj	ぎゃ
vdu	ぎゃい
vdm	ぎゃん
vdh	ぎゅ
vdy	ぎゅう
vdn	ぎゅん
vdk	ぎょ
vdi	ぎょう
vd,	ぎょん
v.	ぎん
fh	く
fy	くう
fn	くん
vh	ぐ
vy	ぐう
vn	ぐん
f;	け
fp	けい
f/	けん
v;	げ
vp	げい
v/	げん
fk	こ
fi	こう
f,	こん
vk	ご
vi	ごう
v,	ごん
dj	さ
du	さい
dm	さん
cj	ざ
cu	ざい
cm	ざん
dl	し
dgl	しぃ
dg.	しぃん
dg;	しぇ
dgp	しぇい
dg/	しぇん
dgj	しゃ
dgu	しゃい
dgm	しゃん
dgh	しゅ
dgy	しゅう
dgn	しゅん
dgk	しょ
dgi	しょう
dg,	しょん
d.	しん
cl	じ
cgl	じぃ
cg.	じぃん
cg;	じぇ
cgp	じぇい
cg/	じぇん
cgj	じゃ
cgu	じゃい
cgm	じゃん
cgh	じゅ
cgy	じゅう
cgn	じゅん
cgk	じょ
cgi	じょう
cg,	じょん
c.	じん
dh	す
dy	すう
dn	すん
ch	ず
cy	ずう
cn	ずん
d;	せ
dp	せい
d/	せん
c;	ぜ
cp	ぜい
c/	ぜん
dk	そ
di	そう
d,	そん
ck	ぞ
ci	ぞう
c,	ぞん
sj	た
su	たい
sm	たん
xj	だ
xu	だい
xm	だん
sl	ち
sdl	ちぃ
sd.	ちぃん
sd;	ちぇ
sdp	ちぇい
sd/	ちぇん
sdj	ちゃ
sdu	ちゃい
sdm	ちゃん
sdh	ちゅ
sdy	ちゅう
sdn	ちゅん
sdk	ちょ
sdi	ちょう
sd,	ちょん
s.	ちん
xl	ぢ
xdl	ぢぃ
xd.	ぢぃん
xd;	ぢぇ
xdp	ぢぇい
xd/	ぢぇん
xdj	ぢゃ
xdu	ぢゃい
xdm	ぢゃん
xdh	ぢゅ
xdy	ぢゅう
xdn	ぢゅん
xdk	ぢょ
xdi	ぢょう
xd,	ぢょん
x.	ぢん
do	っ
ww	っ	w
ee	っ	e
rr	っ	r
tt	っ	t
aa	っ	a
ss	っ	s
dd	っ	d
ff	っ	f
zz	っ	z
xx	っ	x
cc	っ	c
vv	っ	v
bb	っ	b
sh	つ
sy	つう
sn	つん
xh	づ
xy	づう
xn	づん
s;	て
sgl	てぃ
sg.	てぃん
sp	てい
sg;	てぇ
sgp	てぇい
sg/	てぇん
sgj	てゃ
sgu	てゃい
sgm	てゃん
sgh	てゅ
sgy	てゅう
sgn	てゅん
sgk	てょ
sgi	てょう
sg,	てょん
s/	てん
x;	で
xgl	でぃ
xg.	でぃん
xp	でい
xg;	でぇ
xgp	でぇい
xg/	でぇん
xgj	でゃ
xgu	でゃい
xgm	でゃん
xgh	でゅ
xgy	でゅう
xgn	でゅん
xgk	でょ
xgi	でょう
xg,	でょん
x/	でん
sk	と
si	とう
s,	とん
xk	ど
xi	どう
x,	どん
aj	な
au	ない
am	なん
al	に
adl	にぃ
agl	にぃ
ad.	にぃん
ag.	にぃん
ad;	にぇ
ag;	にぇ
adp	にぇい
agp	にぇい
ad/	にぇん
ag/	にぇん
adj	にゃ
agj	にゃ
